# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  9)   0.744 us    |  finish_task_switch.isra.0();
  8)               |                        sk_reset_timer() {
  8)               |                          mod_timer() {
  8)               |                            lock_timer_base() {
  8)   0.105 us    |                              _raw_spin_lock_irqsave();
  8)   0.306 us    |                            }
  8)   0.105 us    |                            calc_wheel_index();
  8)   0.098 us    |                            detach_if_pending();
  8)   0.126 us    |                            enqueue_timer();
  8)   0.105 us    |                            _raw_spin_unlock_irqrestore();
  8)   1.389 us    |                          }
  8)   1.581 us    |                        }
  8)   2.231 us    |                      }
  8)   2.488 us    |                    }
  8) + 23.889 us   |                  }
  8) + 24.485 us   |                }
  8) + 27.289 us   |              }
  8) + 28.149 us   |            }
  8) + 28.504 us   |          }
  8) + 28.826 us   |        }
  8) + 29.147 us   |      }
  8) + 31.424 us   |    }
  8) + 32.020 us   |  }
  9)               |  ip_queue_xmit() {
  9)               |    __ip_queue_xmit() {
  9)               |      __sk_dst_check() {
  9)   0.121 us    |        ipv4_dst_check();
  9)   0.346 us    |      }
  9)   0.100 us    |      skb_push();
  9)               |      ip_local_out() {
  9)               |        __ip_local_out() {
  9)   0.385 us    |          ip_send_check();
  9)   0.653 us    |        }
  9)               |        ip_output() {
  9)               |          nf_hook_slow() {
  9)   0.107 us    |            apparmor_ip_postroute();
  9)   0.418 us    |          }
  9)               |          ip_finish_output() {
  9)               |            __ip_finish_output() {
  9)               |              ip_finish_output2() {
  9)               |                __dev_queue_xmit() {
  9)   0.118 us    |                  qdisc_pkt_len_init();
  9)               |                  netdev_core_pick_tx() {
  9)               |                    netdev_pick_tx() {
  9)   0.149 us    |                      __get_xps_queue_idx();
  9)   0.381 us    |                    }
  9)   0.604 us    |                  }
  9)   0.132 us    |                  _raw_spin_lock();
  9)               |                  sch_direct_xmit() {
  9)               |                    validate_xmit_skb_list() {
  9)               |                      validate_xmit_skb() {
  9)               |                        netif_skb_features() {
  9)               |                          gve_features_check [gve]() {
  9)   0.098 us    |                            gve_features_check_dqo [gve]();
  9)   0.303 us    |                          }
  9)   0.131 us    |                          skb_network_protocol();
  9)   0.796 us    |                        }
  9)   0.114 us    |                        skb_csum_hwoffload_help();
  9)   0.097 us    |                        validate_xmit_xfrm();
  9)   1.485 us    |                      }
  9)   1.727 us    |                    }
  9)   0.102 us    |                    _raw_spin_lock();
  9)               |                    dev_hard_start_xmit() {
  9)               |                      xmit_one.constprop.0() {
  9)               |                        gve_start_xmit [gve]() {
  9)               |                          gve_tx_dqo [gve]() {
  9)               |                            gve_try_tx_skb.isra.0 [gve]() {
  9)   0.119 us    |                              gve_has_avail_slots_tx_dqo [gve]();
  9)               |                              gve_tx_add_skb_dqo [gve]() {
  9)               |                                gve_tx_add_skb_no_copy_dqo.isra.0 [gve]() {
  9)   0.097 us    |                                  is_vmalloc_addr();
  9)   0.113 us    |                                  dma_map_page_attrs();
  9)   0.119 us    |                                  gve_tx_fill_pkt_desc_dqo.isra.0 [gve]();
  9)   0.119 us    |                                  dma_map_page_attrs();
  9)   0.100 us    |                                  gve_tx_fill_pkt_desc_dqo.isra.0 [gve]();
  9)   1.197 us    |                                }
  9)   1.456 us    |                              }
  9)   0.097 us    |                              skb_clone_tx_timestamp();
  9)   2.120 us    |                            }
  9)   2.338 us    |                          }
  9)   2.675 us    |                        }
  9)   2.922 us    |                      }
  9)   3.132 us    |                    }
  9)   0.101 us    |                    _raw_spin_lock();
  9)   5.618 us    |                  }
  9)               |                  __qdisc_run() {
  9)               |                    dequeue_skb() {
  9)   0.116 us    |                      fq_codel_dequeue [sch_fq_codel]();
  9)   0.351 us    |                    }
  9)   0.582 us    |                  }
  9)   0.099 us    |                  __local_bh_enable_ip();
  9)   7.999 us    |                }
  9)   8.325 us    |              }
  9)   8.607 us    |            }
  9)   8.933 us    |          }
  9)   9.767 us    |        }
  9) + 11.149 us   |      }
  9) + 12.059 us   |    }
  9) + 12.302 us   |  }
  8)               |  ip_list_rcv() {
  8)   0.296 us    |    ip_rcv_core();
  8)               |    ip_sublist_rcv() {
  8)               |      ip_rcv_finish_core() {
  8)               |        tcp_v4_early_demux() {
  8)               |          __inet_lookup_established() {
  8)   0.139 us    |            inet_ehashfn();
  8)   0.750 us    |          }
  8)   0.190 us    |          ipv4_dst_check();
  8)   1.597 us    |        }
  8)   2.000 us    |      }
  8)               |      ip_sublist_rcv_finish() {
  8)               |        ip_local_deliver() {
  8)               |          ip_local_deliver_finish() {
  8)               |            ip_protocol_deliver_rcu() {
  8)               |              raw_local_deliver() {
  8)   0.135 us    |                raw_v4_input();
  8)   0.376 us    |              }
  8)               |              tcp_v4_rcv() {
  8)               |                tcp_inbound_hash() {
  8)   0.136 us    |                  tcp_do_parse_auth_options();
  8)   0.417 us    |                }
  8)               |                sk_filter_trim_cap() {
  8)               |                  security_sock_rcv_skb() {
  8)   0.122 us    |                    apparmor_socket_sock_rcv_skb();
  8)   0.453 us    |                  }
  8)   0.813 us    |                }
  8)   0.109 us    |                tcp_v4_fill_cb();
  8)   0.127 us    |                _raw_spin_lock();
  8)               |                tcp_v4_do_rcv() {
  8)   0.100 us    |                  ipv4_dst_check();
  8)               |                  tcp_rcv_established() {
  8)               |                    tcp_mstamp_refresh() {
  8)   0.118 us    |                      ktime_get();
  8)   0.325 us    |                    }
  8)               |                    tcp_ack() {
  8)   0.098 us    |                      ktime_get_seconds();
  8)   0.107 us    |                      tcp_ack_update_window.isra.0();
  8)               |                      tcp_clean_rtx_queue.constprop.0() {
  8)   0.105 us    |                        tcp_rack_advance();
  8)   0.127 us    |                        tcp_rate_skb_delivered();
  8)   0.100 us    |                        tcp_ack_tstamp();
  8)               |                        __kfree_skb() {
  8)   0.099 us    |                          skb_release_head_state();
  8)               |                          skb_release_data() {
  8)               |                            skb_free_head() {
  8)               |                              kmem_cache_free() {
  8)   0.157 us    |                                __slab_free();
  8)   0.448 us    |                              }
  8)   0.650 us    |                            }
  8)   0.945 us    |                          }
  8)               |                          kfree_skbmem() {
  8)               |                            kmem_cache_free() {
  8)   0.163 us    |                              __slab_free();
  8)   0.438 us    |                            }
  8)   0.683 us    |                          }
  8)   2.145 us    |                        }
  8)   0.097 us    |                        tcp_ack_tstamp();
  8)               |                        tcp_ack_update_rtt() {
  8)   0.125 us    |                          tcp_rtt_estimator();
  8)   0.096 us    |                          __usecs_to_jiffies();
  8)   0.668 us    |                        }
  8)               |                        cubictcp_acked() {
  8)   0.114 us    |                          hystart_update();
  8)   0.362 us    |                        }
  8)   4.938 us    |                      }
  8)   0.124 us    |                      tcp_rack_update_reo_wnd();
  8)               |                      tcp_schedule_loss_probe() {
  8)               |                        tcp_schedule_loss_probe.part.0() {
  8)   0.097 us    |                          __usecs_to_jiffies();
  8)   0.097 us    |                          jiffies_to_usecs();
  8)   0.100 us    |                          __usecs_to_jiffies();
  8)               |                          sk_reset_timer() {
  8)               |                            mod_timer() {
  8)               |                              lock_timer_base() {
  8)   0.148 us    |                                _raw_spin_lock_irqsave();
  8)   0.722 us    |                              }
  8)   0.145 us    |                              calc_wheel_index();
  8)   0.115 us    |                              detach_if_pending();
  8)   0.212 us    |                              _raw_spin_lock();
  8)   0.131 us    |                              enqueue_timer();
  8)   0.198 us    |                              _raw_spin_unlock_irqrestore();
  8)   2.572 us    |                            }
  8)   2.880 us    |                          }
  8)   3.752 us    |                        }
  8)   4.010 us    |                      }
  8)   0.131 us    |                      tcp_newly_delivered();
  8)   0.119 us    |                      tcp_rate_gen();
  8)   0.113 us    |                      cubictcp_cong_avoid();
  8)   0.132 us    |                      tcp_update_pacing_rate();
  8)   0.104 us    |                      tcp_xmit_recovery();
  8) + 11.370 us   |                    }
  8)   0.097 us    |                    tcp_urg();
  8)               |                    tcp_data_queue() {
  8)   0.098 us    |                      tcp_try_rmem_schedule();
  8)               |                      tcp_queue_rcv() {
  8)   0.097 us    |                        tcp_rcv_sne_update();
  8)   0.367 us    |                      }
  8)               |                      tcp_event_data_recv() {
  8)   0.121 us    |                        tcp_measure_rcv_mss();
  8)   0.400 us    |                      }
  8)               |                      tcp_data_ready() {
  8)               |                        sock_def_readable() {
  8)               |                          __wake_up_sync_key() {
  8)   0.104 us    |                            _raw_spin_lock_irqsave();
  8)               |                            __wake_up_common() {
  8)   0.108 us    |                              pollwake();
  8)               |                              pollwake() {
  8)               |                                default_wake_function() {
  8)               |                                  try_to_wake_up() {
  8)   0.157 us    |                                    _raw_spin_lock_irqsave();
  8)               |                                    select_task_rq_fair() {
  8)               |                                      wake_affine() {
  8)   0.162 us    |                                        available_idle_cpu();
  8)   0.120 us    |                                        cpus_share_cache();
  8)   0.167 us    |                                        available_idle_cpu();
  8)   0.949 us    |                                      }
  8)               |                                      select_idle_sibling() {
  8)   0.099 us    |                                        available_idle_cpu();
  8)   0.309 us    |                                      }
  8)   1.760 us    |                                    }
